arabic
بِسْمِ ٱللَّهِ
وَإِذْ نَجَّيْنَٰكُم
وَإِذْ فَرَقْنَا
وَإِذْ وَٰعَدْنَا
ثُمَّ عَفَوْنَا
وَإِذْ ءَاتَيْنَا
ثُمَّ بَعَثْنَٰكُم
وَظَلَّلْنَا عَلَيْكُمُ
وَإِذِ ٱسْتَسْقَىٰ
ثُمَّ تَوَلَّيْتُم
فَجَعَلْنَٰهَا نَكَٰلًا
قَالَ إِنَّهُۥ
وَإِذْ قَتَلْتُمْ
فَقُلْنَا ٱضْرِبُوهُ
ثُمَّ قَسَتْ
أَفَتَطْمَعُونَ أَن
أَوَلَا يَعْلَمُونَ
وَمِنْهُمْ أُمِّيُّونَ
بَلَىٰ مَن
ثُمَّ أَنتُمْ
بِئْسَمَا ٱشْتَرَوْا۟
وَلَقَدْ جَآءَكُم
وَلَن يَتَمَنَّوْهُ
وَلَتَجِدَنَّهُمْ أَحْرَصَ
أَوَكُلَّمَا عَٰهَدُوا۟
وَٱتَّبَعُوا۟ مَا
مَّا يَوَدُّ
مَا نَنسَخْ
أَمْ تُرِيدُونَ
وَدَّ كَثِيرٌ
وَلِلَّهِ ٱلْمَشْرِقُ
وَلَن تَرْضَىٰ
وَإِذِ ٱبْتَلَىٰٓ
وَإِذْ جَعَلْنَا
وَإِذْ يَرْفَعُ
رَبَّنَا وَٱجْعَلْنَا
رَبَّنَا وَٱبْعَثْ
وَمَن يَرْغَبُ
وَوَصَّىٰ بِهَآ
أَمْ كُنتُمْ
وَقَالُوا۟ كُونُوا۟
قُولُوٓا۟ ءَامَنَّا
فَإِنْ ءَامَنُوا۟
صِبْغَةَ ٱللَّهِ
قُلْ أَتُحَآجُّونَنَا
أَمْ تَقُولُونَ
سَيَقُولُ ٱلسُّفَهَآءُ
وَكَذَٰلِكَ جَعَلْنَٰكُمْ
قَدْ نَرَىٰ
وَلَئِنْ أَتَيْتَ
وَلِكُلٍّ وِجْهَةٌ
كَمَآ أَرْسَلْنَا
فَٱذْكُرُونِىٓ أَذْكُرْكُمْ
وَلَنَبْلُوَنَّكُم بِشَىْءٍ
ٱلَّذِينَ إِذَآ
أُو۟لَٰٓئِكَ عَلَيْهِمْ
إِنَّ ٱلصَّفَا
وَإِلَٰهُكُمْ إِلَٰهٌ
إِذْ تَبَرَّأَ
إِنَّمَا يَأْمُرُكُم
لَّيْسَ ٱلْبِرَّ
وَلَكُمْ فِى
كُتِبَ عَلَيْكُمْ
فَمَنۢ بَدَّلَهُۥ
فَمَنْ خَافَ
أَيَّامًا مَّعْدُودَٰتٍ
شَهْرُ رَمَضَانَ
وَإِذَا سَأَلَكَ
وَلَا تَأْكُلُوٓا۟
وَٱقْتُلُوهُمْ حَيْثُ
فَإِنِ ٱنتَهَوْا۟
ٱلشَّهْرُ ٱلْحَرَامُ
وَأَنفِقُوا۟ فِى
وَأَتِمُّوا۟ ٱلْحَجَّ
ٱلْحَجُّ أَشْهُرٌ
لَيْسَ عَلَيْكُمْ
ثُمَّ أَفِيضُوا۟
فَإِذَا قَضَيْتُم
وَٱذْكُرُوا۟ ٱللَّهَ
وَإِذَا تَوَلَّىٰ
فَإِن زَلَلْتُم
سَلْ بَنِىٓ
زُيِّنَ لِلَّذِينَ
كَانَ ٱلنَّاسُ
يَسْـَٔلُونَكَ مَاذَا
كُتِبَ عَلَيْكُمُ
فِى ٱلدُّنْيَا
نِسَآؤُكُمْ حَرْثٌ
لَّا يُؤَاخِذُكُمُ
لِّلَّذِينَ يُؤْلُونَ
وَإِنْ عَزَمُوا۟
وَٱلْمُطَلَّقَٰتُ يَتَرَبَّصْنَ
ٱلطَّلَٰقُ مَرَّتَانِ
فَإِن طَلَّقَهَا
وَٱلْوَٰلِدَٰتُ يُرْضِعْنَ
وَلَا جُنَاحَ
وَإِن طَلَّقْتُمُوهُنَّ
حَٰفِظُوا۟ عَلَى
فَإِنْ خِفْتُمْ
وَلِلْمُطَلَّقَٰتِ مَتَٰعٌۢ
كَذَٰلِكَ يُبَيِّنُ
فَلَمَّا فَصَلَ
وَلَمَّا بَرَزُوا۟
فَهَزَمُوهُم بِإِذْنِ
تِلْكَ ٱلرُّسُلُ
لَآ إِكْرَاهَ
ٱللَّهُ وَلِىُّ
أَوْ كَٱلَّذِى
قَوْلٌ مَّعْرُوفٌ
أَيَوَدُّ أَحَدُكُمْ
ٱلشَّيْطَٰنُ يَعِدُكُمُ
يُؤْتِى ٱلْحِكْمَةَ
وَمَآ أَنفَقْتُم
لَّيْسَ عَلَيْكَ
لِلْفُقَرَآءِ ٱلَّذِينَ
ٱلَّذِينَ يَأْكُلُونَ
يَمْحَقُ ٱللَّهُ
لِّلَّهِ مَا
ءَامَنَ ٱلرَّسُولُ
لَا يُكَلِّفُ
نَزَّلَ عَلَيْكَ
مِن قَبْلُ
قَدْ كَانَ
زُيِّنَ لِلنَّاسِ
قُلْ أَؤُنَبِّئُكُم
ٱلَّذِينَ يَقُولُونَ
ٱلصَّٰبِرِينَ وَٱلصَّٰدِقِينَ
شَهِدَ ٱللَّهُ
إِنَّ ٱلدِّينَ
فَإِنْ حَآجُّوكَ
تُولِجُ ٱلَّيْلَ
لَّا يَتَّخِذِ
يَوْمَ تَجِدُ
ذُرِّيَّةًۢ بَعْضُهَا
فَلَمَّا وَضَعَتْهَا
فَتَقَبَّلَهَا رَبُّهَا
هُنَالِكَ دَعَا
فَنَادَتْهُ ٱلْمَلَٰٓئِكَةُ
وَإِذْ قَالَتِ
يَٰمَرْيَمُ ٱقْنُتِى
وَيُكَلِّمُ ٱلنَّاسَ
قَالَتْ رَبِّ
وَيُعَلِّمُهُ ٱلْكِتَٰبَ
وَرَسُولًا إِلَىٰ
وَمُصَدِّقًا لِّمَا
فَلَمَّآ أَحَسَّ
رَبَّنَآ ءَامَنَّا
وَمَكَرُوا۟ وَمَكَرَ
ذَٰلِكَ نَتْلُوهُ
إِنَّ مَثَلَ
فَمَنْ حَآجَّكَ
إِنَّ أَوْلَى
وَدَّت طَّآئِفَةٌ
وَقَالَت طَّآئِفَةٌ
وَلَا تُؤْمِنُوٓا۟
يَخْتَصُّ بِرَحْمَتِهِۦ
وَمِنْ أَهْلِ
وَإِنَّ مِنْهُمْ
وَلَا يَأْمُرَكُمْ
فَمَن تَوَلَّىٰ
أَفَغَيْرَ دِينِ
قُلْ ءَامَنَّا
وَمَن يَبْتَغِ
كَيْفَ يَهْدِى
أُو۟لَٰٓئِكَ جَزَآؤُهُمْ
لَن تَنَالُوا۟
كُلُّ ٱلطَّعَامِ
فَمَنِ ٱفْتَرَىٰ
قُلْ صَدَقَ
إِنَّ أَوَّلَ
فِيهِ ءَايَٰتٌۢ
وَكَيْفَ تَكْفُرُونَ
وَٱعْتَصِمُوا۟ بِحَبْلِ
وَلْتَكُن مِّنكُمْ
يَوْمَ تَبْيَضُّ
كُنتُمْ خَيْرَ
لَن يَضُرُّوكُمْ
ضُرِبَتْ عَلَيْهِمُ
لَيْسُوا۟ سَوَآءً
يُؤْمِنُونَ بِٱللَّهِ
وَمَا يَفْعَلُوا۟
مَثَلُ مَا
هَٰٓأَنتُمْ أُو۟لَآءِ
إِن تَمْسَسْكُمْ
وَإِذْ غَدَوْتَ
إِذْ هَمَّت
وَلَقَدْ نَصَرَكُمُ
إِذْ تَقُولُ
بَلَىٰٓ إِن
لِيَقْطَعَ طَرَفًا
لَيْسَ لَكَ
وَٱتَّقُوا۟ ٱلنَّارَ
وَسَارِعُوٓا۟ إِلَىٰ
أُو۟لَٰٓئِكَ جَزَآؤُهُم
قَدْ خَلَتْ
هَٰذَا بَيَانٌ
إِن يَمْسَسْكُمْ
وَلِيُمَحِّصَ ٱللَّهُ
وَلَقَدْ كُنتُمْ
وَمَا مُحَمَّدٌ
فَـَٔاتَىٰهُمُ ٱللَّهُ
بَلِ ٱللَّهُ
سَنُلْقِى فِى
وَلَقَدْ صَدَقَكُمُ
إِذْ تُصْعِدُونَ
وَلَئِن قُتِلْتُمْ
وَلَئِن مُّتُّمْ
فَبِمَا رَحْمَةٍ
إِن يَنصُرْكُمُ
أَفَمَنِ ٱتَّبَعَ
هُمْ دَرَجَٰتٌ
لَقَدْ مَنَّ
أَوَلَمَّآ أَصَٰبَتْكُم
وَمَآ أَصَٰبَكُمْ
ٱلَّذِينَ قَالُوا۟
فَرِحِينَ بِمَآ
يَسْتَبْشِرُونَ بِنِعْمَةٍ
ٱلَّذِينَ ٱسْتَجَابُوا۟
ٱلَّذِينَ قَالَ
فَٱنقَلَبُوا۟ بِنِعْمَةٍ
إِنَّمَا ذَٰلِكُمُ
لَّقَدْ سَمِعَ
ٱلَّذِينَ قَالُوٓا۟
لَتُبْلَوُنَّ فِىٓ
ٱلَّذِينَ يَذْكُرُونَ
رَّبَّنَآ إِنَّنَا
رَبَّنَا وَءَاتِنَا
فَٱسْتَجَابَ لَهُمْ
لَا يَغُرَّنَّكَ
وَإِنَّ مِنْ
وَءَاتُوا۟ ٱلْيَتَٰمَىٰٓ
وَءَاتُوا۟ ٱلنِّسَآءَ
وَلَا تُؤْتُوا۟
وَٱبْتَلُوا۟ ٱلْيَتَٰمَىٰ
لِّلرِّجَالِ نَصِيبٌ
وَإِذَا حَضَرَ
وَلْيَخْشَ ٱلَّذِينَ
يُوصِيكُمُ ٱللَّهُ
وَلَكُمْ نِصْفُ
تِلْكَ حُدُودُ
وَمَن يَعْصِ
وَٱلَّٰتِى يَأْتِينَ
وَٱلَّذَانِ يَأْتِيَٰنِهَا
إِنَّمَا ٱلتَّوْبَةُ
وَلَيْسَتِ ٱلتَّوْبَةُ
وَإِنْ أَرَدتُّمُ
وَكَيْفَ تَأْخُذُونَهُۥ
حُرِّمَتْ عَلَيْكُمْ
وَٱلْمُحْصَنَٰتُ مِنَ
وَٱللَّهُ يُرِيدُ
وَمَن يَفْعَلْ
إِن تَجْتَنِبُوا۟
وَلَا تَتَمَنَّوْا۟
وَلِكُلٍّ جَعَلْنَا
ٱلرِّجَالُ قَوَّٰمُونَ
وَٱعْبُدُوا۟ ٱللَّهَ
وَٱلَّذِينَ يُنفِقُونَ
وَمَاذَا عَلَيْهِمْ
يَوْمَئِذٍ يَوَدُّ
مِّنَ ٱلَّذِينَ
أَمْ يَحْسُدُونَ
فَمِنْهُم مَّنْ
فَكَيْفَ إِذَآ
فَلَا وَرَبِّكَ
وَلَوْ أَنَّا
وَإِذًا لَّـَٔاتَيْنَٰهُم
وَلَهَدَيْنَٰهُمْ صِرَٰطًا
ذَٰلِكَ ٱلْفَضْلُ
وَإِنَّ مِنكُمْ
وَلَئِنْ أَصَٰبَكُمْ
فَلْيُقَٰتِلْ فِى
أَيْنَمَا تَكُونُوا۟
مَّآ أَصَابَكَ
مَّن يُطِعِ
وَيَقُولُونَ طَاعَةٌ
وَإِذَا جَآءَهُمْ
فَقَٰتِلْ فِى
مَّن يَشْفَعْ
وَإِذَا حُيِّيتُم
فَمَا لَكُمْ
سَتَجِدُونَ ءَاخَرِينَ
وَمَن يَقْتُلْ
لَّا يَسْتَوِى
دَرَجَٰتٍ مِّنْهُ
إِلَّا ٱلْمُسْتَضْعَفِينَ
فَأُو۟لَٰٓئِكَ عَسَى
وَمَن يُهَاجِرْ
وَإِذَا ضَرَبْتُمْ
وَإِذَا كُنتَ
فَإِذَا قَضَيْتُمُ
وَٱسْتَغْفِرِ ٱللَّهَ
وَلَا تُجَٰدِلْ
يَسْتَخْفُونَ مِنَ
لَّا خَيْرَ
وَمَن يُشَاقِقِ
إِن يَدْعُونَ
لَّعَنَهُ ٱللَّهُ
وَلَأُضِلَّنَّهُمْ وَلَأُمَنِّيَنَّهُمْ
يَعِدُهُمْ وَيُمَنِّيهِمْ
أُو۟لَٰٓئِكَ مَأْوَىٰهُمْ
لَّيْسَ بِأَمَانِيِّكُمْ
وَيَسْتَفْتُونَكَ فِى
وَإِنِ ٱمْرَأَةٌ
وَلَن تَسْتَطِيعُوٓا۟
وَإِن يَتَفَرَّقَا
بَشِّرِ ٱلْمُنَٰفِقِينَ
ٱلَّذِينَ يَتَّخِذُونَ
وَقَدْ نَزَّلَ
ٱلَّذِينَ يَتَرَبَّصُونَ
مُّذَبْذَبِينَ بَيْنَ
مَّا يَفْعَلُ
لَّا يُحِبُّ
يَسْـَٔلُكَ أَهْلُ
وَرَفَعْنَا فَوْقَهُمُ
وَبِكُفْرِهِمْ وَقَوْلِهِمْ
وَقَوْلِهِمْ إِنَّا
بَل رَّفَعَهُ
وَإِن مِّنْ
فَبِظُلْمٍ مِّنَ
وَأَخْذِهِمُ ٱلرِّبَوٰا۟
لَّٰكِنِ ٱلرَّٰسِخُونَ
إِنَّآ أَوْحَيْنَآ
وَرُسُلًا قَدْ
رُّسُلًا مُّبَشِّرِينَ
لَّٰكِنِ ٱللَّهُ
إِلَّا طَرِيقَ
لَّن يَسْتَنكِفَ
يَسْتَفْتُونَكَ قُلِ
حُرِّمَتْ عَلَيْكُمُ
يَسْـَٔلُونَكَ مَاذَآ
ٱلْيَوْمَ أُحِلَّ
وَٱذْكُرُوا۟ نِعْمَةَ
وَلَقَدْ أَخَذَ
وَمِنَ ٱلَّذِينَ
يَهْدِى بِهِ
يَٰقَوْمِ ٱدْخُلُوا۟
قَالَ رَجُلَانِ
قَالَ فَإِنَّهَا
لَئِنۢ بَسَطتَ
إِنِّىٓ أُرِيدُ
فَطَوَّعَتْ لَهُۥ
فَبَعَثَ ٱللَّهُ
مِنْ أَجْلِ
إِنَّمَا جَزَٰٓؤُا۟
وَٱلسَّارِقُ وَٱلسَّارِقَةُ
فَمَن تَابَ
سَمَّٰعُونَ لِلْكَذِبِ
وَكَيْفَ يُحَكِّمُونَكَ
وَكَتَبْنَا عَلَيْهِمْ
وَقَفَّيْنَا عَلَىٰٓ
وَلْيَحْكُمْ أَهْلُ
وَأَنزَلْنَآ إِلَيْكَ
وَأَنِ ٱحْكُم
أَفَحُكْمَ ٱلْجَٰهِلِيَّةِ
فَتَرَى ٱلَّذِينَ
إِنَّمَا وَلِيُّكُمُ
وَمَن يَتَوَلَّ
وَإِذَا نَادَيْتُمْ
وَإِذَا جَآءُوكُمْ
وَتَرَىٰ كَثِيرًا
لَوْلَا يَنْهَىٰهُمُ
لَقَدْ أَخَذْنَا
وَحَسِبُوٓا۟ أَلَّا
لَقَدْ كَفَرَ
أَفَلَا يَتُوبُونَ
مَّا ٱلْمَسِيحُ
قُلْ أَتَعْبُدُونَ
لُعِنَ ٱلَّذِينَ
كَانُوا۟ لَا
تَرَىٰ كَثِيرًا
وَلَوْ كَانُوا۟
لَتَجِدَنَّ أَشَدَّ
وَمَا لَنَا
فَأَثَٰبَهُمُ ٱللَّهُ
وَكُلُوا۟ مِمَّا
لَا يُؤَاخِذُكُمُ
إِنَّمَا يُرِيدُ
لَيْسَ عَلَى
جَعَلَ ٱللَّهُ
مَّا عَلَى
قَدْ سَأَلَهَا
مَا جَعَلَ
فَإِنْ عُثِرَ
ذَٰلِكَ أَدْنَىٰٓ
يَوْمَ يَجْمَعُ
وَإِذْ أَوْحَيْتُ
قَالُوا۟ نُرِيدُ
قَالَ عِيسَى
مَا قُلْتُ
إِن تُعَذِّبْهُمْ
لِلَّهِ مُلْكُ
وَلَوْ نَزَّلْنَا
قُل لِّمَن
مَّن يُصْرَفْ
قُلْ أَىُّ
ثُمَّ لَمْ
وَهُمْ يَنْهَوْنَ
بَلْ بَدَا
وَمَا ٱلْحَيَوٰةُ
قَدْ نَعْلَمُ
وَلَقَدْ كُذِّبَتْ
إِنَّمَا يَسْتَجِيبُ
بَلْ إِيَّاهُ
فَلَوْلَآ إِذْ
فَقُطِعَ دَابِرُ
وَأَنذِرْ بِهِ
وَلَا تَطْرُدِ
وَكَذَٰلِكَ فَتَنَّا
وَإِذَا جَآءَكَ
وَعِندَهُۥ مَفَاتِحُ
ثُمَّ رُدُّوٓا۟
وَكَذَّبَ بِهِۦ
لِّكُلِّ نَبَإٍ
وَمَا عَلَى
وَذَرِ ٱلَّذِينَ
قُلْ أَنَدْعُوا۟
وَأَنْ أَقِيمُوا۟
وَكَذَٰلِكَ نُرِىٓ
فَلَمَّا جَنَّ
إِنِّى وَجَّهْتُ
وَحَآجَّهُۥ قَوْمُهُۥ
وَكَيْفَ أَخَافُ
وَتِلْكَ حُجَّتُنَآ
وَزَكَرِيَّا وَيَحْيَىٰ
وَإِسْمَٰعِيلَ وَٱلْيَسَعَ
وَمِنْ ءَابَآئِهِمْ
ذَٰلِكَ هُدَى
وَلَقَدْ جِئْتُمُونَا
فَالِقُ ٱلْإِصْبَاحِ
لَّا تُدْرِكُهُ
قَدْ جَآءَكُم
وَكَذَٰلِكَ نُصَرِّفُ
ٱتَّبِعْ مَآ
وَلَا تَسُبُّوا۟
وَنُقَلِّبُ أَفْـِٔدَتَهُمْ
وَلَوْ أَنَّنَا
وَلِتَصْغَىٰٓ إِلَيْهِ
أَفَغَيْرَ ٱللَّهِ
وَتَمَّتْ كَلِمَتُ
وَإِن تُطِعْ
وَذَرُوا۟ ظَٰهِرَ
وَلَا تَأْكُلُوا۟
أَوَمَن كَانَ
وَإِذَا جَآءَتْهُمْ
فَمَن يُرِدِ
وَهَٰذَا صِرَٰطُ
لَهُمْ دَارُ
وَكَذَٰلِكَ نُوَلِّى
ذَٰلِكَ أَن
وَرَبُّكَ ٱلْغَنِىُّ
إِنَّ مَا
وَكَذَٰلِكَ زَيَّنَ
وَقَالُوا۟ هَٰذِهِۦٓ
وَمِنَ ٱلْأَنْعَٰمِ
ثَمَٰنِيَةَ أَزْوَٰجٍ
وَمِنَ ٱلْإِبِلِ
سَيَقُولُ ٱلَّذِينَ
قُلْ فَلِلَّهِ
قُلْ هَلُمَّ
قُلْ تَعَالَوْا۟
وَأَنَّ هَٰذَا
ثُمَّ ءَاتَيْنَا
أَن تَقُولُوٓا۟
أَوْ تَقُولُوا۟
قُلْ إِنَّنِى
لَا شَرِيكَ
كِتَٰبٌ أُنزِلَ
ٱتَّبِعُوا۟ مَآ
فَلَنَسْـَٔلَنَّ ٱلَّذِينَ
فَلَنَقُصَّنَّ عَلَيْهِم
وَٱلْوَزْنُ يَوْمَئِذٍ
وَلَقَدْ مَكَّنَّٰكُمْ
وَلَقَدْ خَلَقْنَٰكُمْ
قَالَ فَٱهْبِطْ
قَالَ أَنظِرْنِىٓ
قَالَ فَبِمَآ
ثُمَّ لَـَٔاتِيَنَّهُم
قَالَ ٱخْرُجْ
وَيَٰٓـَٔادَمُ ٱسْكُنْ
فَوَسْوَسَ لَهُمَا
وَقَاسَمَهُمَآ إِنِّى
فَدَلَّىٰهُمَا بِغُرُورٍ
قَالَا رَبَّنَا
قَالَ ٱهْبِطُوا۟
قَالَ فِيهَا
وَإِذَا فَعَلُوا۟
قُلْ أَمَرَ
فَرِيقًا هَدَىٰ
قُلْ مَنْ
قَالَ ٱدْخُلُوا۟
وَقَالَتْ أُولَىٰهُمْ
وَبَيْنَهُمَا حِجَابٌ
وَإِذَا صُرِفَتْ
أَهَٰٓؤُلَآءِ ٱلَّذِينَ
ٱلَّذِينَ ٱتَّخَذُوا۟
وَلَقَدْ جِئْنَٰهُم
ٱدْعُوا۟ رَبَّكُمْ
وَلَا تُفْسِدُوا۟
وَٱلْبَلَدُ ٱلطَّيِّبُ
فَكَذَّبُوهُ فَأَنجَيْنَٰهُ
فَأَنجَيْنَٰهُ وَٱلَّذِينَ
فَعَقَرُوا۟ ٱلنَّاقَةَ
إِنَّكُمْ لَتَأْتُونَ
وَلَا تَقْعُدُوا۟
قَدِ ٱفْتَرَيْنَا
ثُمَّ بَدَّلْنَا
أَفَأَمِنَ أَهْلُ
أَوَأَمِنَ أَهْلُ
أَفَأَمِنُوا۟ مَكْرَ
تِلْكَ ٱلْقُرَىٰ
وَمَا وَجَدْنَا
حَقِيقٌ عَلَىٰٓ
وَجَآءَ ٱلسَّحَرَةُ
قَالَ أَلْقُوا۟
فَوَقَعَ ٱلْحَقُّ
فَغُلِبُوا۟ هُنَالِكَ
وَأُلْقِىَ ٱلسَّحَرَةُ
لَأُقَطِّعَنَّ أَيْدِيَكُمْ
وَمَا تَنقِمُ
قَالَ مُوسَىٰ
قَالُوٓا۟ أُوذِينَا
وَلَقَدْ أَخَذْنَآ
فَإِذَا جَآءَتْهُمُ
وَقَالُوا۟ مَهْمَا
فَأَرْسَلْنَا عَلَيْهِمُ
وَلَمَّا وَقَعَ
وَأَوْرَثْنَا ٱلْقَوْمَ
قَالَ أَغَيْرَ
وَإِذْ أَنجَيْنَٰكُم
وَوَٰعَدْنَا مُوسَىٰ
قَالَ يَٰمُوسَىٰٓ
وَكَتَبْنَا لَهُۥ
سَأَصْرِفُ عَنْ
وَٱتَّخَذَ قَوْمُ
وَلَمَّا سُقِطَ
وَلَمَّا رَجَعَ
وَٱلَّذِينَ عَمِلُوا۟
وَلَمَّا سَكَتَ
وَٱخْتَارَ مُوسَىٰ
وَٱكْتُبْ لَنَا
ٱلَّذِينَ يَتَّبِعُونَ
وَمِن قَوْمِ
وَقَطَّعْنَٰهُمُ ٱثْنَتَىْ
وَإِذْ قِيلَ
وَسْـَٔلْهُمْ عَنِ
وَإِذْ قَالَتْ
فَلَمَّا عَتَوْا۟
وَقَطَّعْنَٰهُمْ فِى
وَٱلَّذِينَ يُمَسِّكُونَ
وَإِذْ نَتَقْنَا
أَوْ تَقُولُوٓا۟
سَآءَ مَثَلًا
مَن يَهْدِ
وَلَقَدْ ذَرَأْنَا
وَلِلَّهِ ٱلْأَسْمَآءُ
وَمِمَّنْ خَلَقْنَآ
أَوَلَمْ يَنظُرُوا۟
مَن يُضْلِلِ
فَلَمَّآ ءَاتَىٰهُمَا
أَيُشْرِكُونَ مَا
وَلَا يَسْتَطِيعُونَ
أَلَهُمْ أَرْجُلٌ
إِنَّ وَلِـِّۧىَ
وَٱلَّذِينَ تَدْعُونَ
خُذِ ٱلْعَفْوَ
وَإِخْوَٰنُهُمْ يَمُدُّونَهُمْ
وَإِذَا لَمْ
وَٱذْكُر رَّبَّكَ
كَمَآ أَخْرَجَكَ
يُجَٰدِلُونَكَ فِى
وَإِذْ يَعِدُكُمُ
لِيُحِقَّ ٱلْحَقَّ
إِذْ تَسْتَغِيثُونَ
إِذْ يُغَشِّيكُمُ
إِذْ يُوحِى
ذَٰلِكُمْ فَذُوقُوهُ
وَمَن يُوَلِّهِمْ
فَلَمْ تَقْتُلُوهُمْ
ذَٰلِكُمْ وَأَنَّ
إِن تَسْتَفْتِحُوا۟
وَلَوْ عَلِمَ
وَٱتَّقُوا۟ فِتْنَةً
وَٱعْلَمُوٓا۟ أَنَّمَآ
وَإِذْ يَمْكُرُ
وَإِذْ قَالُوا۟
وَمَا لَهُمْ
لِيَمِيزَ ٱللَّهُ
وَإِن تَوَلَّوْا۟
وَٱعْلَمُوٓا۟ أَنَّمَا
إِذْ أَنتُم
إِذْ يُرِيكَهُمُ
وَإِذْ يُرِيكُمُوهُمْ
وَإِذْ زَيَّنَ
إِذْ يَقُولُ
ٱلَّذِينَ عَٰهَدتَّ
فَإِمَّا تَثْقَفَنَّهُمْ
وَإِمَّا تَخَافَنَّ
وَأَعِدُّوا۟ لَهُم
وَإِن جَنَحُوا۟
وَإِن يُرِيدُوٓا۟
وَأَلَّفَ بَيْنَ
ٱلْـَٰٔنَ خَفَّفَ
لَّوْلَا كِتَٰبٌ
وَإِن يُرِيدُوا۟
بَرَآءَةٌ مِّنَ
فَسِيحُوا۟ فِى
وَأَذَٰنٌ مِّنَ
فَإِذَا ٱنسَلَخَ
وَإِنْ أَحَدٌ
كَيْفَ يَكُونُ
كَيْفَ وَإِن
ٱشْتَرَوْا۟ بِـَٔايَٰتِ
لَا يَرْقُبُونَ
فَإِن تَابُوا۟
وَإِن نَّكَثُوٓا۟
أَلَا تُقَٰتِلُونَ
قَٰتِلُوهُمْ يُعَذِّبْهُمُ
وَيُذْهِبْ غَيْظَ
إِنَّمَا يَعْمُرُ
أَجَعَلْتُمْ سِقَايَةَ
يُبَشِّرُهُمْ رَبُّهُم
لَقَدْ نَصَرَكُمُ
ثُمَّ يَتُوبُ
قَٰتِلُوا۟ ٱلَّذِينَ
ٱتَّخَذُوٓا۟ أَحْبَارَهُمْ
يَوْمَ يُحْمَىٰ
إِنَّ عِدَّةَ
إِنَّمَا ٱلنَّسِىٓءُ
إِلَّا تَنفِرُوا۟
إِلَّا تَنصُرُوهُ
ٱنفِرُوا۟ خِفَافًا
عَفَا ٱللَّهُ
لَا يَسْتَـْٔذِنُكَ
إِنَّمَا يَسْتَـْٔذِنُكَ
وَلَوْ أَرَادُوا۟
لَوْ خَرَجُوا۟
لَقَدِ ٱبْتَغَوُا۟
إِن تُصِبْكَ
قُلْ أَنفِقُوا۟
وَمَا مَنَعَهُمْ
فَلَا تُعْجِبْكَ
وَيَحْلِفُونَ بِٱللَّهِ
لَوْ يَجِدُونَ
إِنَّمَا ٱلصَّدَقَٰتُ
وَمِنْهُمُ ٱلَّذِينَ
يَحْذَرُ ٱلْمُنَٰفِقُونَ
وَلَئِن سَأَلْتَهُمْ
لَا تَعْتَذِرُوا۟
ٱلْمُنَٰفِقُونَ وَٱلْمُنَٰفِقَٰتُ
كَٱلَّذِينَ مِن
أَلَمْ يَأْتِهِمْ
وَٱلْمُؤْمِنُونَ وَٱلْمُؤْمِنَٰتُ
وَمِنْهُم مَّنْ
فَلَمَّآ ءَاتَىٰهُم
فَأَعْقَبَهُمْ نِفَاقًا
ٱلَّذِينَ يَلْمِزُونَ
ٱسْتَغْفِرْ لَهُمْ
فَرِحَ ٱلْمُخَلَّفُونَ
فَلْيَضْحَكُوا۟ قَلِيلًا
فَإِن رَّجَعَكَ
وَلَا تُصَلِّ
وَلَا تُعْجِبْكَ
وَإِذَآ أُنزِلَتْ
رَضُوا۟ بِأَن
لَٰكِنِ ٱلرَّسُولُ
وَجَآءَ ٱلْمُعَذِّرُونَ
وَلَا عَلَى
يَعْتَذِرُونَ إِلَيْكُمْ
سَيَحْلِفُونَ بِٱللَّهِ
يَحْلِفُونَ لَكُمْ
ٱلْأَعْرَابُ أَشَدُّ
وَٱلسَّٰبِقُونَ ٱلْأَوَّلُونَ
وَمِمَّنْ حَوْلَكُم
وَءَاخَرُونَ ٱعْتَرَفُوا۟
خُذْ مِنْ
وَقُلِ ٱعْمَلُوا۟
وَءَاخَرُونَ مُرْجَوْنَ
لَا تَقُمْ
أَفَمَنْ أَسَّسَ
لَا يَزَالُ
ٱلتَّٰٓئِبُونَ ٱلْعَٰبِدُونَ
لَّقَد تَّابَ
وَعَلَى ٱلثَّلَٰثَةِ
وَلَا يُنفِقُونَ
أَوَلَا يَرَوْنَ
لَقَدْ جَآءَكُمْ
أَكَانَ لِلنَّاسِ
إِلَيْهِ مَرْجِعُكُمْ
أُو۟لَٰٓئِكَ مَأْوَىٰهُمُ
دَعْوَىٰهُمْ فِيهَا
وَلَوْ يُعَجِّلُ
ثُمَّ جَعَلْنَٰكُمْ
وَيَقُولُونَ لَوْلَآ
فَلَمَّآ أَنجَىٰهُمْ
إِنَّمَا مَثَلُ
وَٱللَّهُ يَدْعُوٓا۟
لِّلَّذِينَ أَحْسَنُوا۟
وَٱلَّذِينَ كَسَبُوا۟
فَكَفَىٰ بِٱللَّهِ
هُنَالِكَ تَبْلُوا۟
فَذَٰلِكُمُ ٱللَّهُ
كَذَٰلِكَ حَقَّتْ
وَمَا يَتَّبِعُ
وَإِن كَذَّبُوكَ
وَإِمَّا نُرِيَنَّكَ
أَثُمَّ إِذَا
وَيَسْتَنۢبِـُٔونَكَ أَحَقٌّ
هُوَ يُحْىِۦ
قُلْ بِفَضْلِ
وَمَا ظَنُّ
وَمَا تَكُونُ
لَهُمُ ٱلْبُشْرَىٰ
